Model,RMSE,MAE,MAPE
XGBoost,302.58,231.79,0.92
ARIMA (daily),4088.88,3321.19,12.64
LSTM,722.51,578.62,2.44
GRU,627.29,488.57,1.97
Hybrid ARIMA+XGBoost,3853.55,3146.97,12.4
